t,m_dot,Pp,N,alpha
42.7,8.843144410265978,6272.998610668504,38500,0.65
42.800000000000004,8.885586132330381,6297.796182749726,38500,0.65
42.900000000000006,8.847778168967235,6287.877349701083,38500,0.65
43.0,8.954476498531276,6328.1222388378965,38500,0.35
43.1,8.611256303017713,9173.415320382936,38500,0.35
43.2,8.279466876940578,8868.460382657515,38500,0.35
43.300000000000004,8.00754077253305,8605.44605760021,38500,0.35
43.400000000000006,7.745909147835164,8383.021680830452,38500,0.35
43.5,7.613219990690915,8224.877124773311,38500,0.35
43.6,7.3120359495994185,8049.930485527478,38500,0.35
43.7,7.129099951117322,7931.100186262795,38500,0.35
43.800000000000004,6.953857463090543,7820.0452921910555,38500,0.35
43.900000000000006,6.802652569137292,7645.043006836378,38500,0.35
44.0,6.667919622687691,7568.289948040012,38500,0.35
44.1,6.575089052676393,7459.1468375401655,38500,0.35
44.2,6.515156011795466,7391.472314707737,38500,0.35
44.300000000000004,6.443043396589648,7325.964907610448,38500,0.35
44.400000000000006,6.345950132722292,7257.236257473153,38500,0.35
44.5,6.228955042481457,7202.568243718594,38500,0.35
44.6,6.242276296277191,7170.832796152229,38500,0.35
44.7,6.170955352144415,7105.096029974669,38500,0.35
44.800000000000004,6.067865654547764,7105.93732395306,38500,0.35
44.900000000000006,5.98969958574465,7033.826026388775,38500,0.35
45.0,6.001089686190105,7024.281833922101,42500,0.65
45.1,6.18029541590825,5614.560359863634,42500,0.65
45.2,6.292840627120808,5665.234811812874,42500,0.65
45.300000000000004,6.55447478273587,5678.227295903237,42500,0.65
45.400000000000006,6.758025595897172,5778.994340324246,42500,0.65
45.5,6.882620391147981,5808.083957646162,42500,0.65
45.6,7.115327263077275,5832.445646696784,42500,0.65
45.7,7.207002946425653,5840.520278796747,42500,0.65
45.800000000000004,7.516141367232393,5912.754283055429,42500,0.65
45.900000000000006,7.676955237923999,5927.112926641037,42500,0.65
46.0,7.7611991342226965,6026.888187359815,38500,0.35
46.1,7.5875883816425285,8270.321052800298,38500,0.35
46.2,7.2482177925582105,8082.593163193982,38500,0.35
46.300000000000004,7.131159373097923,7881.909042886232,38500,0.35
46.400000000000006,7.013486860891635,7780.353948152186,38500,0.35
46.5,6.83053656835591,7699.746677843396,38500,0.35
46.6,6.790686794540137,7609.770979131208,38500,0.35
46.7,6.739256091309464,7519.763587542443,38500,0.35
46.800000000000004,6.475707919254592,7386.9786943103345,38500,0.35
46.900000000000006,6.39794859479375,7354.537556707403,38500,0.35
47.0,6.366102626743313,7235.697205357452,38500,0.65
47.1,6.558627635761089,5654.189247340253,38500,0.65
47.2,6.541439489088589,5713.775889167995,38500,0.65
47.300000000000004,6.735740695714583,5745.873175592353,38500,0.65
47.400000000000006,6.931271747890901,5760.367578653003,38500,0.65
47.5,6.870737371963736,5754.934775599023,38500,0.65
47.6,6.998575318822836,5810.566224399069,38500,0.65
